trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.5, 'e': 0.11057125794194463}",20,12,13.462116897549585,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.10835983278310574}",30,10,30.09040847282959,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.10619263612744362}",20,11,-6.056496966884876,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.10406878340489474}",25,12,19.407409779754776,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.10198740773679685}",30,16,14.414868534001199,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.09994765958206091}",20,12,14.756107170856943,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.0979487063904197}",25,19,7.351837750944119,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.0959897322626113}",30,18,23.374592965273767,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.09406993761735907}",20,2,18.69224342033418,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.0921885388650119}",25,4,31.399631236501794,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.09034476808771166}",20,16,8.198803112116185,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.08853787272595742}",20,0,25.356835806909952,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.08676711527143827}",30,16,-18.013043758428214,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.0850317729660095}",30,14,3.8850649578322485,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.08333113750668932}",20,4,26.616814866603963,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.08166451475655553}",25,12,24.74709223212508,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.08003122446142442}",25,15,19.49463996242682,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.07843059997219594}",20,6,21.778422583870597,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.07686198797275202}",20,0,21.968240239432667,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.07532474821329699}",25,7,27.157218281875068,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.07381825324903105}",20,14,12.299129500732281,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.07234188818405042}",30,21,20.55997260107408,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.07089505042036941}",20,6,-20.62603106951182,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 0.5, 'e': 0.06947714941196202}",20,7,21.79165576056324,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
